weight	mpg	foreign
3820	36	0
4620	29	0
4680	27	0
2850	23	0
4290	37	0
3730	42	0
1630	16	1
4980	11	0
1970	17	1
3940	11	0
4980	11	0
4610	47	0
4340	38	0
2270	30	1
4760	34	0
1790	15	1
3190	16	0
3130	42	0
3750	22	0
3280	30	0
4570	10	0
4530	20	0
4820	41	0
2670	42	0
2420	42	0
4840	11	0
2480	40	0
3230	13	1
1570	40	1
1780	20	1
2070	26	0
4610	15	0
3470	41	0
2060	37	0
2260	27	0
4370	47	0
2130	47	0
3310	25	0
3240	27	0
4460	10	0
4960	37	0
4920	22	0
3220	16	1
3330	12	0
3280	31	0
3840	31	0
3020	38	0
3300	30	0
3960	50	0
2430	41	0
4530	22	0
2370	30	0
3110	44	0
3710	47	0
3450	34	0
4830	33	0
2580	45	0
3900	16	0
3370	43	0
4860	16	0
4900	21	0
2240	11	1
4630	41	0
4540	30	0
2120	11	1
3330	24	0
3920	22	0
4790	15	0
2270	35	0
5000	16	0
2210	39	1
4700	13	0
2750	41	0
2370	42	0
3460	42	0
2460	45	0
2540	37	0
3960	33	0
1590	21	1
2710	48	0
2140	42	0
4040	50	0
1590	13	1
3850	31	0
3060	32	0
3610	32	0
4660	43	0
4330	27	0
1530	33	1
2970	23	0
3110	32	0
3150	35	0
2100	31	1
4780	23	0
4530	19	0
3760	38	0
2600	41	0
4140	15	0
3480	11	0
4960	44	0
